"List of employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011  and business location in 2017 (January-June)",,,,, 
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Positions Approved 
,,1151178 Alberta Ltd,"Valleyview, AB T0H 3N0",6311-Food service supervisors,1
,,,,"6313-Accommodation, travel, tourism and related services supervisors",1
,,,,6322-Cooks,2
,,1151871 Alberta Ltd,"Edmonton, AB T6V 1B3",6322-Cooks,2
,,1153485 Alberta Ltd,"Westlock, AB T7P 1L3",6311-Food service supervisors,1
,,1158642 Alberta Ltd,"Canmore, AB T1W 2H4",6211-Retail sales supervisors,1
,,1167470 Alberta Ltd,"Fort McMurray, AB T9H 4W1",0631-Restaurant and food service managers,1
,,,,6322-Cooks,1
,,1168313 Alberta Ltd,"Calgary, AB T3A 6L6",6311-Food service supervisors,1
,,1171035 Alberta Ltd,"Edmonton, AB T5H 3B5",6311-Food service supervisors,1
,,1172679 Alberta Ltd,"Edmonton, AB T6H 0K5",0631-Restaurant and food service managers,1
,,1174455 AB Ltd,"Redwater, AB T0A 2W0",6211-Retail sales supervisors,1
,,1177096 Alberta Inc,"Canmore, AB T1W 1C1",6531-Tour and travel guides,2
,,1187787 Alberta Ltd,"Red Deer, AB T4N 5H3",6322-Cooks,1
,,1192661 Alberta Ltd,"Slave Lake, AB T0G 2A0",6332-Bakers,1
,,12 Inch Holdings Inc,"Hinton, AB T1L 1A7",6311-Food service supervisors,1
,,1201417 Alberta Ltd,"Calgary, AB T3M 1N9",6211-Retail sales supervisors,2
,,1205705 Alberta Ltd,"Calgary, AB T3E 3C8",0631-Restaurant and food service managers,1
,,1214797 Alberta Ltd. O/A Subway,"Barrhead, AB T7N 1A5",6311-Food service supervisors,1
,,1215238 Alberta Ltd,"Edmonton, AB T6W 1A2",6311-Food service supervisors,1
,,1216572 Alberta Ltd,"Red Deer, AB T4R 1N9",0631-Restaurant and food service managers,1
,,,,6322-Cooks,1
,,1217358 Alberta Ltd,"Calgary, AB T3C 3P1",6211-Retail sales supervisors,1
,,1229320 Alberta Ltd,"Leduc, AB T9E 2A1","6313-Accommodation, travel, tourism and related services supervisors",2
,,,,6315-Cleaning supervisors,2
,,,,6316-Other services supervisors,1
,,1232646 Alberta Ltd,"Calgary, AB T3E 0B8","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
,,1233398 Alberta Ltd.,"Airdrie, AB T4B 3Y2",6311-Food service supervisors,1
,,1234555 Alberta Ltd,"Provost, AB T0B 3S0",6311-Food service supervisors,1
,,1236506 Alberta Ltd,"Calgary, AB T2H 0K8",6211-Retail sales supervisors,1
,,1239156 Alberta Ltd,"Calgary, AB T3J 3K9",6311-Food service supervisors,1
,,1239483 Alberta Ltd.,"Boyle, AB T0A 0M0",6211-Retail sales supervisors,1
,,1243211 Alberta Ltd,"Strathmore, AB T1P 1W8",6732-Specialized cleaners,2
,,1244242 Alberta Inc O/A Executive Cleaning,"Sherwood Park, AB T8A 3X4",6315-Cleaning supervisors,1
,,1245879 Alberta Ltd,"St. Albert, AB T8N 6J8",6322-Cooks,5
,,1246026 Alberta Ltd O/A Canadian Pizza Unlimited,"Calgary, AB T3J 4J8",6311-Food service supervisors,1
,,1251491 Alberta Ltd,"Edmonton, AB T5M 1V1","6342-Tailors, dressmakers, furriers and milliners",2
,,1253683 Alberta Ltd,"Edmonton, AB T6W 1Y7",6211-Retail sales supervisors,1
,,1256146 Alberta Ltd,"Camrose, AB T4V 1L8",6311-Food service supervisors,6
,,1261933 Alberta Ltd,"Sexsmith, AB T0H 3C0",6211-Retail sales supervisors,1
,,1261984 Alberta Ltd.,"Drayton Valley, AB T7A 1R6",6315-Cleaning supervisors,1
,,1266256 Alberta Ltd.,"Fox Creek, AB T0H 1P0",6311-Food service supervisors,1
,,1268962 Alberta Inc,"Calgary, AB T2Y 3M7",6311-Food service supervisors,2
,,1268964 Alberta Ltd.,"Nisku, AB T9E 7N1",6322-Cooks,1
,,1273129 Alberta Ltd,"Edmonton, AB T6X 0J4",6311-Food service supervisors,1
,,1276619 Alberta Ltd,"Edmonton, AB T5Y 0W7",6211-Retail sales supervisors,1
,,1286620 Alberta Ltd,"Lethbridge, AB T1K 5P9","6711-Food counter attendants, kitchen helpers and related support occupations",2
,,1287180 Alberta Ltd,"Jasper, AB T0E 1E0",6322-Cooks,3
,,1290296 Alberta Ltd.,"Nanton, AB T0L 1R0",6311-Food service supervisors,2
,,1294570 Alberta Ltd,"Red Deer, AB T4P 1K4",6311-Food service supervisors,2
,,1302492 Alberta Inc,"Edmonton, AB T6B 3S3",6311-Food service supervisors,1
,,1303071 Alberta Ltd,"Thorhild, AB T0A 3J0",6611-Cashiers,1
,,1304707 Alberta Ltd,"Edmonton, AB T5K 1M9",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,1306845 Alberta Ltd,"Edmonton, AB T5S 2J1",8612-Landscaping and grounds maintenance labourers,3
,,1311098 Alberta Ltd,"Edmonton, AB T6T 1V9",6322-Cooks,2
,,1312383 AB Ltd,"Coalhurst, AB T0L 0V0",6211-Retail sales supervisors,1
,,1316189 Alberta Ltd,"Spruce Grove, AB T7X 2H4",6322-Cooks,1
,,1316897 Alberta Ltd.,"Sherwood Park, AB T8A 0K5",6211-Retail sales supervisors,1
,,1317518 Alberta Ltd,"Edmonton, AB T5X 6C5",6311-Food service supervisors,1
,,1320371 Alberta Ltd,"Smoky Lake, AB T0A 3C0",6322-Cooks,1
,,1320819 Alberta Ltd,"Calgary, AB T2N 1Z7",6211-Retail sales supervisors,1
,,1320929 Alberta Ltd,"Calgary, AB T2W 4J3",6211-Retail sales supervisors,1
,,1323577 Alberta Ltd o/a Fort Road Bottle Depot,"Edmonton, AB T5A 5A7",6211-Retail sales supervisors,1
,,1326106 Alberta Ltd.,"Boyle, AB T0A 0M0",6525-Hotel front desk clerks,2
,,1326845 Alberta Ltd,"Jasper, AB T0E 1E0",6211-Retail sales supervisors,2
,,1327321 Alberta Ltd,"Banff, AB T1L 1B1",6311-Food service supervisors,1
,,1328288 Alberta Ltd,"Calgary, AB T3A 6A5",6322-Cooks,1
,,1330197 Alberta Ltd,"Edmonton, AB T6R 0J4",6311-Food service supervisors,1
,,,,"6711-Food counter attendants, kitchen helpers and related support occupations",1
,,1332624 Alberta Ltd.,"Edmonton, AB T6R 3P2",0631-Restaurant and food service managers,1
,,1335805 Alberta Ltd.,"Grande Prairie, AB T8V 8J6",6311-Food service supervisors,1
,,,,6322-Cooks,2
,,1336201 AB Ltd,"Calgary, AB T3J 5H2",0631-Restaurant and food service managers,1
,,,,6311-Food service supervisors,1
,,1346148 Alberta Ltd.,"Rocky Mountain House, AB T4T 1A7","6313-Accommodation, travel, tourism and related services supervisors",1
,,1352517 Alberta Ltd.,"Red Deer, AB T4P 0S8",6311-Food service supervisors,1
,,1353055 Alberta Ltd,"Jasper, AB T0E 1E0",6322-Cooks,1
,,1353412 Alberta LTD.,"Calgary, AB T3J 4J7",6311-Food service supervisors,1
,,1363790 Alberta Ltd,"Slave Lake, AB T0G 2A0",6315-Cleaning supervisors,1
,,1365185 Alberta Ltd,"Barrhead, AB T7N 1A4",6322-Cooks,1
,,1366431 Alberta Ltd,"Edmonton, AB T5H 3B5",6311-Food service supervisors,2
,,1368478 Alberta Ltd,"Calgary, AB T3H 5T8",6311-Food service supervisors,1
,,1369790 Alberta Ltd,"Edson, AB T7E 1N9",6315-Cleaning supervisors,1
,,1371731 Alberta Ltd.,"Spruce View, AB T0M 1V0",7294-Painters and decorators (except interior decorators),1
,,1372925 Alberta Ltd,"Drayton Valley, AB T7A 1M4",6311-Food service supervisors,1
,,1373883 Alberta Ltd,"Caroline, AB T0M 0M0",6311-Food service supervisors,1
,,1379532 Alberta Ltd,"Okotoks, AB T1S 1A9",0631-Restaurant and food service managers,1
,,,,6311-Food service supervisors,2
,,1384173 Alberta Inc,"Calgary, AB T3E 7M9",6311-Food service supervisors,1
,,1387751 Alberta Ltd o/a Diamond Willow Restaurant,"Sexsmith, AB T0H 3C0",0631-Restaurant and food service managers,1
,,,,6311-Food service supervisors,1
,,,,6322-Cooks,1
,,1390135 Alberta Ltd,"Whitecourt, AB T7S 1N8",6311-Food service supervisors,1
,,1393532 Alberta Ltd,"Edmonton, AB T6E 1W9",0631-Restaurant and food service managers,1
,,1393775 Alberta Ltd. o/a Shell,"St Albert, AB T8N 4K6",6211-Retail sales supervisors,3
,,1393875 Alberta Ltd,"Calgary, AB T2N 1Z7",6211-Retail sales supervisors,1
,,1395411 Alberta Ltd,"Sherwood Park, AB T8A 3H9",6311-Food service supervisors,1
,,1396659 Alberta Ltd.,"Atikameg, AB T0G 0C0",6211-Retail sales supervisors,1
,,1397130 Alberta Ltd,"Calgary, AB T2B 3B5",6311-Food service supervisors,1
,,,,"6313-Accommodation, travel, tourism and related services supervisors",1
,,1402445 Alberta Ltd,"Edmonton, AB T5X 0H8",7283-Tilesetters,1
,,1403814 Alberta Inc,"Calgary, AB T2Z 0G4",6311-Food service supervisors,1
,,1404402 Alberta Ltd,"Taber, AB T1G 1C9","6711-Food counter attendants, kitchen helpers and related support occupations",3
,,1405880 Alberta Ltd,"Calgary, AB T3E 3A4",6322-Cooks,1
,,1409494 Alberta Ltd.,"Red Deer, AB T4R 3R5",6322-Cooks,1
,,1410268 Alberta Ltd,"Kehewin, AB T0A 1C0",6211-Retail sales supervisors,1
,,1412964 Alberta Ltd,"Sylvan Lake, AB T4S 1A7",6211-Retail sales supervisors,1
,,1416311 Alberta Ltd.,"Valleyview, AB T0H 3N0","6313-Accommodation, travel, tourism and related services supervisors",1
,,1427730 Alberta Ltd.,"Jasper, AB T0E 1E0",6315-Cleaning supervisors,2
,,1431994 Alberta Ltd,"Edmonton, AB T6E 5P2",6311-Food service supervisors,2
,,,,6322-Cooks,2
,,,,6332-Bakers,1
,,1432415 Alberta Ltd,"Edmonton, AB T6E 2A7",6322-Cooks,1
,,1433540 Alberta Ltd.,"Fort McMurray, AB T9H 4G8",6341-Hairstylists and barbers,1
,,1435531 Alberta Ltd.,"Lethbridge, AB T1J 0C2",6322-Cooks,1
,,1436957 Alberta Ltd,"Sherwood Park, AB T8A 5W9",6311-Food service supervisors,1
,,1438100 Alberta Ltd.,"Peace River, AB T8S 1S4",6211-Retail sales supervisors,1
,,,,6611-Cashiers,2
,,1438946 Alberta Ltd,"Edmonton, AB T6B 3S3",6311-Food service supervisors,2
,,,,6322-Cooks,2
,,1440086 Alberta Ltd.,"Edmonton, AB T6H 2E3",6311-Food service supervisors,2
,,1440270 Alberta Ltd.,"Calgary, AB T2A 0R6",6211-Retail sales supervisors,1
,,1440568 Alberta Ltd,"Red Deer, AB T4R 1L2",6322-Cooks,1
,,1442267 Alberta Ltd,"Spruce Grove, AB T7X 4B8",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,1448977 Alberta Inc,"Calgary, AB T3J 4J8",6311-Food service supervisors,1
,,1451135 Alberta Inc.,"Rocky View County, AB T1Z 0A3",6311-Food service supervisors,1
,,1456359 Alberta Ltd,"Calgary, AB T2P 4K8",6311-Food service supervisors,1
,,1457406 Alberta Ltd.,"Coaldale, AB T1M 1N1",6311-Food service supervisors,1
,,1457409 Alberta Ltd,"Sturgeon County, AB T8L 0C7",6513-Food and beverage servers,3
,,1461927 Alberta Ltd.,"Okotoks, AB T1S 0A8",6211-Retail sales supervisors,1
,,1463670 Alberta Ltd.,"Calgary, AB T2G 2M2",6311-Food service supervisors,1
,,1464520 Alberta Ltd,"Sundre, AB T0M 1X0",6311-Food service supervisors,1
,,1465780 Alberta Ltd o/a Papa Georges Restaurant,"Jasper, AB T0E 1E0",6322-Cooks,2
,,1466613 Alberta Ltd,"Lloydminster, AB T9V 0Y1",6211-Retail sales supervisors,1
,,1470414 Alberta Ltd.,"Banff, AB T1L 1B1",6322-Cooks,1
,,1471418 Alberta Ltd,"Edmonton, AB T6X 0A7",6322-Cooks,4
,,1471899 Alberta Ltd.,"Edmonton, AB T5L 2H8","9224-Supervisors, furniture and fixtures manufacturing",1
,,1472777 Alberta Ltd,"Calgary, AB T3H 2V6",6311-Food service supervisors,1
,,1473307 Alberta Ltd,"Fort McMurray, AB T9H 2J7",6311-Food service supervisors,2
,,1473395 Alberta Ltd,"Edmonton, AB T6G 2E1",6311-Food service supervisors,1
,,1473398 Shanghai Grill Restaurant Ltd,"Edmonton, AB T5M 4G3",6322-Cooks,1
,,,,"6711-Food counter attendants, kitchen helpers and related support occupations",1
,,1474378 Alberta Ltd,"Edmonton, AB T6H 2L6",6211-Retail sales supervisors,1
,,1482465 Alberta Ltd.,"Leduc, AB T9E 8N4",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,1482980 Alberta Ltd,"Vermilion, AB T9X 1X8",6311-Food service supervisors,1
,,1484818 Alberta Ltd,"Spruce Grove, AB T7X 0L4",6211-Retail sales supervisors,1
,,1485575 Alberta Inc.,"Edmonton, AB T5Y 2W7",6311-Food service supervisors,1
,,1485633 Alberta Ltd,"Calgary, AB T2Y 3S4",6311-Food service supervisors,1
,,1487850 Alberta Ltd,"Red Deer, AB T4P 1K4",6311-Food service supervisors,1
,,1488784 Alberta Ltd,"Brocket, AB T0K 0H0",6211-Retail sales supervisors,1
,,1489901 Alberta Ltd,"Calgary, AB T2G 4T8",6311-Food service supervisors,1
,,1494840 Alberta Ltd,"Calgary, AB T3B 5T6",6315-Cleaning supervisors,1
,,1496160 Alberta Ltd.,"Milk River, AB T0K 1M0","6622-Store shelf stockers, clerks and order fillers",1
,,1497596 Alberta Ltd,"Edmonton, AB T5T 6A4",6311-Food service supervisors,1
,,1500808 Alberta Ltd,"Calgary, AB T3J 4X5",6311-Food service supervisors,1
,,1501299 Alberta Ltd,"Fort McMurray, AB T9K 0T9",6211-Retail sales supervisors,1
,,,,6311-Food service supervisors,2
,,1501305 Alberta Ltd,"Fort McMurray, AB T9K 0T9",6315-Cleaning supervisors,2
,,1502580 Alberta Ltd,"Calgary, AB T2T 1Z6",6322-Cooks,1
,,1502675 Alberta Ltd o/a Cafe Mediterranean,"Calgary, AB T2R 0T8",6322-Cooks,1
,,1504790 Alberta Ltd,"St. Brides, AB T0A 2Y0",6211-Retail sales supervisors,1
,,1506894 Alberta Ltd,"Kitscoty, AB T0B 2P0",6322-Cooks,1
,,1508593 Alberta Ltd.,"Rocky Mountain House, AB T4T 0B3",6211-Retail sales supervisors,1
,,1510487 Alberta Ltd.,"Cochrane, AB T4C 1A6",6311-Food service supervisors,4
,,1511965 Alberta Inc,"Drumheller, AB T0J 0Y6",6211-Retail sales supervisors,1
,,1518027 Alberta Ltd.,"Red Earth Creek, AB T0G 1X0",6311-Food service supervisors,2
,,1520278 Alberta Ltd.,"Grassland, AB T0A 1V0",6311-Food service supervisors,1
,,1527015 Alberta Ltd,"Calgary, AB T3G 5A2",7283-Tilesetters,1
,,1527852 Alberta Ltd,"Edmonton, AB T5Z 3J7",6315-Cleaning supervisors,2
,,1528621 Alberta Ltd,"Edmonton, AB T6J 4T9",6322-Cooks,2
,,1529719 Alberta Ltd,"Calgary, AB T2R 0A5",6322-Cooks,1
,,1529813 Alberta Ltd,"St Albert, AB T8N 6J8",6311-Food service supervisors,1
,,1530433 Alberta Ltd. o/a Tim Hortons,"Devon, AB T9G 0A6",6332-Bakers,2
,,1533948 Alberta Corp o/a Topp Kids Child Care Centre,"Calgary, AB T2J 0A4",4214-Early childhood educators and assistants,1
,,1536022 Alberta Ltd,"Calgary, AB T3J 5H9",6311-Food service supervisors,1
,,1537535 Alberta Ltd.,"Spruce Grove, AB T7X 4B8",6311-Food service supervisors,1
,,1539067 Alberta Ltd,"Calgary, AB T2X 0M5",6311-Food service supervisors,1
,,1539182 Alberta Ltd,"Edmonton, AB T5T 1V1",4214-Early childhood educators and assistants,1
,,1539320 Alberta Ltd,"Calgary, AB T3A 0X9",1221-Administrative officers,1
,,1540955 Alberta Ltd,"Edmonton, AB T5K 0V6",6322-Cooks,1
,,1544605 Alberta Ltd,"Edmonton, AB T6R 0R9",6311-Food service supervisors,1
,,1544650 Alberta Ltd.,"Grande Prairie, AB T8V 0T8","5254-Program leaders and instructors in recreation, sport and fitness",1
,,1550970 Alberta Ltd,"Calgary, AB T2Y 3S5",6322-Cooks,2
,,1552165 Alberta Ltd,"Calgary, AB T3H 5P2",6322-Cooks,1
,,1555022 Alberta Inc.,"Edmonton, AB T5P 4J7",6211-Retail sales supervisors,1
,,1555635 Alberta Ltd.,"Red Deer County, AB T4E 1B9",6211-Retail sales supervisors,1
,,1557860 Alberta Ltd,"Lacombe, AB T4L 2H1",6211-Retail sales supervisors,1
,,1557931 Alberta Ltd,"Fairview, AB T0H 1L0",6211-Retail sales supervisors,1
,,1558624 Alberta Ltd,"Rocky View, AB T4A 0G3",6311-Food service supervisors,1
,,1558854 Alberta Ltd.,"Edmonton, AB T5Y 3A9",7283-Tilesetters,2
,,1566323 Alberta Ltd,"Edmonton, AB T6L 3Z7",1311-Accounting technicians and bookkeepers,1
,,1569360 Alberta Ltd,"Wabasca, AB T0G 2K0",6611-Cashiers,1
,,1570659 Alberta Ltd.,"Edmonton, AB T6B 2R2",6211-Retail sales supervisors,1
,,1571021 Alberta Ltd,"Clairmont, AB T0H 0W0",6311-Food service supervisors,1
,,1572311 Alberta Ltd.,"Calgary, AB T2T 5E7",6322-Cooks,1
,,1572592 Alberta Ltd,"Stony Plain, AB T7Z 0H4",6311-Food service supervisors,2
,,1572669 Alberta Ltd.,"Fort McMurray, AB T9I 3Z7",0631-Restaurant and food service managers,1
,,,,6322-Cooks,2
,,1577422 Alberta Ltd.,"Edmonton, AB T5H 2R6",6311-Food service supervisors,1
,,1578059 Alberta Ltd.,"Rocky View, AB T4A 0G3",6311-Food service supervisors,1
,,1585485 Alberta Ltd,"Edmonton, AB T6N 1J6",6311-Food service supervisors,2
,,1586238 Alberta Ltd,"Edmonton, AB T6H 5K4","6711-Food counter attendants, kitchen helpers and related support occupations",1
,,1588220 Alberta Inc.,"Calgary, AB T2G 0E3",6311-Food service supervisors,1
,,1591360 Alberta Ltd,"Beiseker, AB T0M 0G0",6322-Cooks,1
,,1591841 Alberta Ltd o/a Nitza's Pizza,"St Albert, AB T8N 2G4",6322-Cooks,1
,,1592295 Alberta Ltd,"Edmonton, AB T6H 1E7",6732-Specialized cleaners,1
,,1593871 Alberta Ltd.,"St. Albert, AB T8N 3V3",6341-Hairstylists and barbers,1
,,1594625 Alberta Ltd.,"Edmonton, AB T5A 5B5",6311-Food service supervisors,1
,,,,6322-Cooks,4
,,1598452 Alberta Ltd,"Edmonton, AB T6R 0J3",6311-Food service supervisors,2
,,,,6322-Cooks,1
,,1598720 Alberta Ltd.,"Waskatenau, AB T0A 3P0",6322-Cooks,2
,,1604319 Alberta Ltd,"Leduc, AB T9E 2A2",6311-Food service supervisors,2
,,,,6322-Cooks,2
,,1609066 Alberta Ltd,"Fox Creek, AB T0H 1P0",6311-Food service supervisors,1
,,1609995 Alberta Ltd,"Lloydminster, AB T9V 0A7",6311-Food service supervisors,1
,,1614254 Alberta Ltd,"Grande Prairie, AB T8W 2V9",6311-Food service supervisors,1
,,1615389 Alberta Inc.,"Calgary, AB T2C 5E9",6211-Retail sales supervisors,1
,,1615418 AB INC.,"Okotoks, AB T1S 0B2",6322-Cooks,1
,,1616533 Alberta Ltd,"Calgary, AB T3A 0E2",6311-Food service supervisors,1
,,,,6322-Cooks,2
,,1619259 Alberta Ltd,"Fort McMurray, AB T9H 5A8",6311-Food service supervisors,1
,,1619904 Alberta Ltd.,"Bonnyville, AB T9N 0C3","6313-Accommodation, travel, tourism and related services supervisors",1
,,1621804 Alberta Ltd,"Redwater, AB T0A 2W0","6313-Accommodation, travel, tourism and related services supervisors",1
,,1623939 Alberta Ltd,"Innisfail, AB T4G 1C2",6311-Food service supervisors,1
,,1624032 Alberta Ltd,"Fort Saskatchewan, AB T8L 4P7","6711-Food counter attendants, kitchen helpers and related support occupations",1
,,1625755 Alberta Ltd.,"Edmonton, AB T6L 6B9","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
,,1627889 Alberta Ltd.,"Edmonton, AB T5J 1M7",6322-Cooks,1
,,1630483 Alberta Ltd.,"Pincher Creek, AB T0K 1W0",6611-Cashiers,1
,,1630790 Alberta Inc,"Calgary, AB T1Y 6J1",6311-Food service supervisors,1
,,1630973 Alberta Ltd,"Peace River, AB T8S 1S4",6316-Other services supervisors,1
,,1635107 Alberta Ltd.,"Vermilion, AB T9X 0B4",6311-Food service supervisors,1
,,1637731 Alberta Ltd,"Edmonton, AB T5T 4K3",6311-Food service supervisors,1
,,1639380 Alberta Ltd,"Calgary, AB T2A 6L8",6311-Food service supervisors,1
,,1643897 Alberta Ltd.,"Edmonton, AB T5S 2R4",6211-Retail sales supervisors,1
,,1645278 Alberta Ltd,"Edmonton, AB T5Y 0B9",6322-Cooks,2
,,1645682 Alberta Ltd,"Calgary, AB T3H 0N5",6311-Food service supervisors,1
,,1646618 Alberta Ltd,"Edmonton, AB T6J 6L7",0631-Restaurant and food service managers,1
,,1647016 Alberta Ltd.,"Calgary, AB T2H 0T2",6311-Food service supervisors,1
,,,,6322-Cooks,2
,,1647698 Alberta Inc.,"Spruce Grove, AB T7X 0T8","5254-Program leaders and instructors in recreation, sport and fitness",2
,,1654168 Alberta Ltd,"Edmonton, AB T6J 6V1",6311-Food service supervisors,2
,,1658439 Alberta Ltd.,"Lloydminster, AB T9V 0X6",6211-Retail sales supervisors,1
,,1661381 Alberta Limited,"Sylvan Lake, AB T4S 0A5",6211-Retail sales supervisors,1
,,1661529 Alberta Ltd.,"Wetaskiwin, AB T9A 0S2",6211-Retail sales supervisors,1
,,1662452 Alberta Ltd.,"Edmonton, AB T5P 4V6",6311-Food service supervisors,1
,,1663515 Alberta Ltd,"Fort McMurray, AB T9K 0Z4",6322-Cooks,3
,,1666251 Alberta Ltd,"High Level, AB T0H 1Z0",6211-Retail sales supervisors,1
,,1667278 Alberta Ltd,"Hardisty, AB T0B 1V0",6211-Retail sales supervisors,1
,,1670210 Alberta Ltd,"St. Albert, AB T8N 5N6",0631-Restaurant and food service managers,1
,,1670730 Alberta Ltd,"Peace River, AB T8S 1R2","6313-Accommodation, travel, tourism and related services supervisors",1
,,1673605 Alberta Ltd.,"Spruce Grove, AB T7X 0C8",6311-Food service supervisors,1
,,1674716 Alberta Ltd.,"Calgary, AB T2Y 1W1",6211-Retail sales supervisors,1
,,1677016 Alberta Ltd,"Edmonton, AB T6E 0T2",6311-Food service supervisors,1
,,1678591 Alberta Inc.,"Edmonton, AB T5J 4H5",6311-Food service supervisors,1
,,1678770 Alberta Ltd,"Airdrie, AB T4N 2P8",6311-Food service supervisors,1
,,1681926 Alberta Ltd,"Olds, AB T4H 1P8",6322-Cooks,2
,,1686106 Alberta Ltd.,"Calgary, AB T3M 0Y1",6311-Food service supervisors,1
,,1686139 Alberta Ltd.,"Entwistle, AB T0E 0S0",6322-Cooks,1
,,1688733 Alberta Corp,"Rocky View, AB T4A 0G3",0631-Restaurant and food service managers,1
,,1689288 Alberta Ltd,"Edmonton, AB T5J 3B1",6311-Food service supervisors,1
,,1691038 Alberta Ltd.,"Edmonton, AB T6T 0A6",7294-Painters and decorators (except interior decorators),1
,,1691677 Alberta Ltd,"Spruce Grove, AB T7X 0C8",6311-Food service supervisors,1
,,1692252 Alberta Ltd,"Calgary, AB T3J 4L8",6322-Cooks,1
,,1692850 Alberta Ltd,"Edmonton, AB T5C 3C8",6311-Food service supervisors,1
,,1693106 Alberta Ltd.,"Edmonton, AB T6W 0L9",0631-Restaurant and food service managers,1
,,1693312 Alberta Ltd.,"Calgary, AB T3K 5Z7",6211-Retail sales supervisors,1
,,1693338 Alberta Ltd,"Edmonton, AB T5T 4M2",6421-Retail salespersons,2
,,1694087 Alberta Ltd.,"Calgary, AB T2H 3B8",6311-Food service supervisors,1
,,1694365 Alberta Ltd.,"Calgary, AB T3R 0R5",6322-Cooks,2
,,1694802 Alberta Ltd.,"Viking, AB T0B 4N0",6211-Retail sales supervisors,1
,,1695802 Alberta Ltd.,"Edmonton, AB T5H 3B5",6311-Food service supervisors,2
,,1697874 Alberta Ltd,"Cochrane, AB T4C 1L3",6311-Food service supervisors,1
,,1698518 Alberta Ltd,"Sylvan Lake, AB T4S 1A7",6322-Cooks,1
,,1701057 AB Ltd,"Calgary, AB T3K 0P5",6311-Food service supervisors,1
,,1701735 Alberta Inc.,"Edmonton, AB T5K 0P1",6321-Chefs,3
,,1701924 Alberta Ltd,"St. Albert, AB T8N 5T8",6332-Bakers,2
,,1703213 Alberta Ltd.,"Barrhead, AB T7N 1A5","6711-Food counter attendants, kitchen helpers and related support occupations",1
,,1708809 Alberta Ltd,"Calgary, AB T3A 5H1",6311-Food service supervisors,1
,,1709274 Alberta Ltd,"Edmonton, AB T6E 5X8",6311-Food service supervisors,1
,,1710054 Alberta Ltd.,"Calgary, AB T2X 2X7",7535-Other automotive mechanical installers and servicers,1
,,1712933 Alberta Ltd,"Calgary, AB T1Y 2R1",6211-Retail sales supervisors,1
,,1713682 Alberta Ltd.,"Leduc, AB T9E 8A5",6315-Cleaning supervisors,1
,,1715139 Alberta Ltd,"Edmonton, AB T6T 0C2",6311-Food service supervisors,1
,,1715423 Alberta Ltd,"Edmonton, AB T6W 2J3",6311-Food service supervisors,2
,,1718229 Alberta Ltd.,"Edmonton, AB T6R 0J3",6311-Food service supervisors,3
,,1718318 Alberta Ltd,"Fort McMurray, AB T9H 1N8",6311-Food service supervisors,1
,,,,6322-Cooks,2
,,1720143 Alberta Ltd,"Pincher Creek, AB T0K 1W0",0631-Restaurant and food service managers,1
,,1722025 Alberta Ltd,"Brooks, AB T1R 1C3",6315-Cleaning supervisors,1
,,1724000 Alberta Ltd.,"Red Deer, AB T4N 3T2",6311-Food service supervisors,1
,,1724471 Alberta Ltd,"Edmonton, AB T6R 2E3",6311-Food service supervisors,1
,,1726153 Alberta Ltd.,"Edmonton, AB T5T 3J7",6322-Cooks,1
,,1727350 Alberta Ltd,"Lacombe, AB T4L 1K7",6211-Retail sales supervisors,1
,,1727430 Alberta Ltd.,"St Albert, AB T8N 7C8",6311-Food service supervisors,1
,,1728140 Alberta Ltd,"Calgary, AB T2J 0P6",6322-Cooks,1
,,1729302 Alberta Ltd,"Sylvan Lake, AB T4S 2J7",6311-Food service supervisors,1
,,1730201 Alberta Ltd.,"Okotoks, AB T1S 1T6",6311-Food service supervisors,1
,,1734323 Alberta Ltd.,"Rimbey, AB T0C 2J0",6621-Service station attendants,1
,,1735787 Alberta Ltd,"Ft. McMurray, AB T9K 2M2",6211-Retail sales supervisors,2
,,1739838 Alberta Ltd,"Calgary, AB T3C 1S7",6311-Food service supervisors,1
,,1740100 Alberta Ltd,"Edmonton, AB T5P 4X7",0631-Restaurant and food service managers,1
,,1742060 Alberta Ltd,"Edmonton, AB T6R 3S9",6211-Retail sales supervisors,2
,,1743669 Alberta Ltd.,"Fort McMurray, AB T9K 0Z3",6311-Food service supervisors,2
,,1744909 Alberta Inc,"Whitecourt, AB T7S 1A1",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,1745854 Alberta Ltd,"Calgary, AB T2A 0R1","6342-Tailors, dressmakers, furriers and milliners",1
,,1745937 Alberta Ltd,"Calgary, AB T2N 1V8",6322-Cooks,1
,,1746943 Alberta Ltd,"Edmonton, AB T7X 4M1",6311-Food service supervisors,2
,,1748301 Alberta Ltd.,"Edmonton, AB T6W 0Y3",6322-Cooks,1
,,1750821 Alberta Ltd.,"Spruce Grove, AB T7X 4B8",6211-Retail sales supervisors,1
,,1750965 Alberta Ltd.,"Medicine Hat, AB T1A 0C3",6332-Bakers,3
