Employers who were issued a negative Labour Market Impact Assessment (LMIA) by National Occupational Classification (NOC) 2011 and business location in 2016,,,, 
Province/Territory,Employer,Address,Occupations under NOC 2011,Positions requested 
,1457409 Alberta Ltd,"Fort Saskatchewan, AB T8L 2E1","0651-Managers in customer and personal services, n.e.c.",1
,1458072 Alberta Ltd,"Edmonton, AB T5K 0L5",6322-Cooks,2
,1460576 Alberta Ltd,"Edmonton, AB T6X 1B4",6311-Food service supervisors,1
,1464202 Alberta Ltd,"Calgary, AB T3H 0N5",6311-Food service supervisors,2
,1465248 Alberta Ltd.,"Calgary, AB T2J 0S2",6211-Retail sales supervisors,2
,1465432 Alberta Ltd.,"Edmonton, AB T6T 0H2",7511-Transport truck drivers,2
,1469738 Alberta Ltd,"Edmonton, AB T6L 5H1",6322-Cooks,1
,1477279 Alberta Ltd,"Peace River, AB T8S 1R2",6211-Retail sales supervisors,2
,1477733 Alberta Ltd.,"Calgary, AB T2E 6T4",0621-Retail and wholesale trade managers,1
,,,1521-Shippers and receivers,2
,1487927 Alberta Ltd,"Edmonton, AB T6J 6P3",6311-Food service supervisors,1
,1488570 Alberta Ltd o/a Swiss Chalet,"Calgary, AB T2H 0M4",6322-Cooks,1
,1488784 Alberta Ltd,"Brocket, AB T0K 0H0",6211-Retail sales supervisors,1
,1490239 Alberta Inc.,"Edmonton, AB T5J 3N9","6711-Food counter attendants, kitchen helpers and related support occupations",2
,1491117 Alberta Ltd.,"Edmonton, AB T5G 3A6",6311-Food service supervisors,1
,1493256 Alberta Ltd.,"Calgary, AB T2A 4L8",1311-Accounting technicians and bookkeepers,1
,1494618 Alberta Ltd,"Fort McMurray, AB T9H 1N8",0631-Restaurant and food service managers,1
,1495259 Alberta Inc,"Lac Dec Arcs, AB T1W 2W3","0651-Managers in customer and personal services, n.e.c.",1
,1496937 Alberta Ltd,"Edson, AB T7E 1B8","6711-Food counter attendants, kitchen helpers and related support occupations",3
,1500094 Alberta Ltd,"Calgary, AB T2H 0K9",6311-Food service supervisors,1
,1501299 Alberta Ltd,"Fort McMurray, AB T9K 0T9",6311-Food service supervisors,1
,1503708 Alberta Ltd,"Calgary, AB T2R 0Y4",0631-Restaurant and food service managers,1
,,,"6711-Food counter attendants, kitchen helpers and related support occupations",1
,1505070 Alberta Ltd,"Hinton, AB T7V 2A2",6211-Retail sales supervisors,1
,,,6611-Cashiers,2
,1505337 Alberta Ltd,"Brooks, AB T1R 0N9",6322-Cooks,3
,1506390 Alberta Ltd.,"Edmonton, AB T5J 1V6",6311-Food service supervisors,2
,1511661 Alberta Ltd o/a Dominos Pizza,"Calgary, AB T2K 6H2","6711-Food counter attendants, kitchen helpers and related support occupations",1
,1511965 Alberta Inc,"Drumheller, AB T0J 0Y6",0621-Retail and wholesale trade managers,1
,,,6211-Retail sales supervisors,1
,1518027 Alberta Ltd.,"Red Earth Creek, AB T0G 1X0",6311-Food service supervisors,4
,1520278 Alberta Ltd,"Grassland, AB T0A 1V0","6711-Food counter attendants, kitchen helpers and related support occupations",2
,1522777 Alberta Ltd,"Standoff, AB T0L 1Y0","6711-Food counter attendants, kitchen helpers and related support occupations",1
,1529129 Alberta Inc o/a Booster Juice,"Calgary, AB T3H 0L3",6311-Food service supervisors,1
,1529813 Alberta Ltd,"St Albert, AB T8N 6J8",6311-Food service supervisors,3
,,"St. Albert, AB T8N 0R8",6311-Food service supervisors,1
,1531845 Alberta Ltd,"Strathmore, AB T1P 1B6",6211-Retail sales supervisors,1
,1534841 Alberta Ltd,"Sherwood Park, AB T8B 1M1",6322-Cooks,1
,1535179 Alberta Ltd,"Edmonton, AB T6T 1J4",7511-Transport truck drivers,1
,1537411 Alberta Ltd,"Edmonton, AB T6J 2S3",6311-Food service supervisors,1
,1539182 Alberta Ltd,"Edmonton, AB T5T 1V1",4214-Early childhood educators and assistants,1
,1539188 Alberta Ltd,"Ardmore, AB T0A 0B0","6711-Food counter attendants, kitchen helpers and related support occupations",4
,1540955 Alberta Ltd,"Edmonton, AB T5K 0V6",6322-Cooks,2
,1546063 Alberta Ltd,"Fort McMurray, AB T9J 1G9",6322-Cooks,1
,1551692 Alberta Ltd.,"Black Diamond, AB T0L 0H0",6211-Retail sales supervisors,1
,1552165 Alberta Ltd,"Calgary, AB T3H 5P2",6322-Cooks,1
,1555015 Alberta Ltd.,"Calgary, AB T2P 1A4",6322-Cooks,1
,1558772 Alberta Ltd,"Calgary, AB T3K 5Z7",6421-Retail salespersons,1
,,,"6711-Food counter attendants, kitchen helpers and related support occupations",1
,1568079 Alberta Ltd,"Calgary, AB T3E 0C3",6311-Food service supervisors,1
,1573524 Alberta Ltd,"Calgary, AB T2H 0J3",6311-Food service supervisors,1
,,,6321-Chefs,1
,1577422 Alberta Ltd.,"Edmonton, AB T5H 2R6",0601-Corporate sales managers,1
,1578018 Alberta Ltd,"Edmonton, AB T5T 1L6",0621-Retail and wholesale trade managers,1
,1590236 Alberta Ltd,"Calgary, AB T2J 5N8",6311-Food service supervisors,1
,1597065 Alberta Ltd,"Cold Lake, AB T9M 2E5",6322-Cooks,1
,1606038 Alberta Ltd.,"Edmonton, AB T5J 0B7",6322-Cooks,2
,1608046 Alberta Inc,"Calgary, AB T3J 5H8",6322-Cooks,2
,1609487 Alberta Ltd,"Calgary, AB T2A 3E7","7284-Plasterers, drywall installers and finishers and lathers",1
,1612565 Alberta Ltd.,"Red Deer, AB T4N 7C2",6311-Food service supervisors,1
,1613054 Alberta Ltd,"Edmonton, AB T5J 0B7",6311-Food service supervisors,1
,,,6322-Cooks,1
,1613377 Alberta Inc.,"Calgary, AB T3K 5J6",6322-Cooks,1
,1615389 Alberta Inc.,"Calgary, AB T2C 5E9",6211-Retail sales supervisors,2
,1619265 Alberta Inc.,"Edmonton, AB T5X 0H2",1221-Administrative officers,1
,1621236 Alberta Ltd,"Sundre, AB T0M 1X0",6311-Food service supervisors,2
,1621804 Alberta Ltd,"Redwater, AB T0A 2W0",6731-Light duty cleaners,1
,1624490 Alberta Ltd,"Edmonton, AB T5N 4B2",6332-Bakers,1
,1630418 Alberta Ltd,"Red Deer, AB T4R 2K7",6211-Retail sales supervisors,1
,1631444 Alberta Ltd.,"Wetaskiwin, AB T9A 1B2",6211-Retail sales supervisors,2
,1640198 Alberta Ltd.,"Edmonton, AB T6E 5X6",6311-Food service supervisors,1
,1640273 Alberta Ltd.,"Taber, AB T1G 2A7",6322-Cooks,1
,1642322 Alberta Ltd,"Airdrie, AB T4A 2E4",6322-Cooks,4
,1643897 Alberta Ltd.,"Edmonton, AB T5S 2R4",6421-Retail salespersons,1
,1645071 Alberta Ltd.,"Morinville, AB T8R 1P9",6322-Cooks,1
,1647183 Alberta Ltd,"Calgary, AB T3J 2B4",0621-Retail and wholesale trade managers,1
,1650205 Alberta Ltd,"Calgary, AB T2Z 0G4","6313-Accommodation, travel, tourism and related services supervisors",1
,1655750 Alberta Ltd.,"Calgary, AB T3G 3W6",6311-Food service supervisors,1
,1662439 Alberta Ltd.,"Edmonton, AB T5Y 0M5",6311-Food service supervisors,1
,1663164 Alberta Inc.,"Sylvan Lake, AB T4S 1S8",6311-Food service supervisors,1
,1663519 AB LTD,"Fort McMurray, AB T9K 6Z5",0621-Retail and wholesale trade managers,1
,1666251 Alberta Ltd,"High Level, AB T0H 1Z0",6211-Retail sales supervisors,2
,1667045 Alberta Ltd,"Edmonton, AB T6M 0M8",6311-Food service supervisors,2
,1667278 Alberta Ltd,"Hardisty, AB T0B 1V0",6211-Retail sales supervisors,1
,1669406 Alberta Ltd,"Calgary, AB T2E 6R8",6732-Specialized cleaners,1
,1672085 Alberta Ltd,"Calgary, AB T2C 6S6",6322-Cooks,1
,1672135 Alberta Ltd,"Sherwood Park, AB T8H 1R4",6311-Food service supervisors,2
,1675843 Alberta Ltd.,"Calgary, AB T2G 2B7",6322-Cooks,1
,1676076 Alberta Ltd,"Edmonton, AB T6R 3T1",7246-Telecommunications installation and repair workers,1
,1684474 Alberta Ltd,"Edmonton, AB T6J 5H2",6525-Hotel front desk clerks,1
,1696160 Alberta Ltd,"Slave Lake, AB T0G 2A0",6311-Food service supervisors,2
,1696276 Alberta Ltd.,"Red Deer, AB T4P 2J4",6322-Cooks,1
,1699399 Alberta Ltd.,"Edmonton, AB T5Z 3M3",6322-Cooks,1
,1700535 Alberta Inc.,"Calgary, AB T2G 5B6",6311-Food service supervisors,1
,1701057 AB Ltd,"Calgary, AB T3K 0P5","6711-Food counter attendants, kitchen helpers and related support occupations",1
,1703097 Alberta Ltd,"Edmonton, AB T6E 5R2",6322-Cooks,1
,1703213 Alberta Ltd.,"Barrhead, AB T7N 1A5","6711-Food counter attendants, kitchen helpers and related support occupations",1
,1709015 Alberta Ltd,"Edmonton, AB T5Z 3P5","6711-Food counter attendants, kitchen helpers and related support occupations",2
,1712123 Alberta Ltd,"Edmonton, AB T5K 0Z4",6211-Retail sales supervisors,1
,1715426 Alberta Ltd,"Sylvan Lake, AB T4S 1C2","6711-Food counter attendants, kitchen helpers and related support occupations",1
,1723607 Alberta Ltd,"Calgary, AB T2G 2L3",6315-Cleaning supervisors,1
,1725157 Alberta Ltd,"Blackfalds, AB T0M 0J0",6311-Food service supervisors,1
,1726462 Alberta Ltd,"St. Paul, AB T0B 3A2",0621-Retail and wholesale trade managers,2
,1726704 Alberta Ltd.,"Edmonton, AB T5T 3G6",6322-Cooks,2
,1727350 Alberta Ltd,"Lacombe, AB T4L 1K7",6211-Retail sales supervisors,1
,1728275 Alberta Ltd,"Edmonton, AB T6H 1L9",6611-Cashiers,1
,1729369 Alberta Inc,"Leduc, AB T9E 2X2",8431-General farm workers,12
,1730045 Alberta Ltd.,"Grande Prairie, AB T8V 6H7",6311-Food service supervisors,1
,1731563 Alberta Ltd  o/A Capital City Contracting Ltd,"Edmonton, AB T5C 2X5",7611-Construction trades helpers and labourers,2
,1733091 Alberta Ltd.,"Calgary, AB T2E 3N7",6211-Retail sales supervisors,1
,1733227 Alberta Ltd,"Banff, AB T1L 1B1","6711-Food counter attendants, kitchen helpers and related support occupations",1
,1739838 Alberta Ltd,"Calgary, AB T3C 1S7",6311-Food service supervisors,1
,1740100 Alberta Ltd,"Edmonton, AB T5N 3S5",6311-Food service supervisors,1
,1740959 AB Ltd,"Brooks, AB T1R 0V5",6341-Hairstylists and barbers,1
,1741805 Alberta Ltd.,"Camrose, AB T4V 0K1",6311-Food service supervisors,1
,1742134 Alberta Ltd,"Edmonton, AB T6J 6V7",6322-Cooks,2
,1742509 Alberta Ltd.,"Jasper, AB T0E 1E0",6211-Retail sales supervisors,1
,1742525 Alberta Ltd,"Red Deer, AB T4N 3Y1",6322-Cooks,1
,1743505 Alberta Ltd,"Millet, AB T0C 1Z0",6322-Cooks,1
,1743669 Alberta Ltd.,"Fort McMurray, AB T9K 0Z3",6311-Food service supervisors,2
,1744346 Alberta LTD,"Edmonton, AB T6L 7A9",1241-Administrative assistants,1
,1744909 Alberta Inc,"Whitecourt, AB T7S 1A1",6311-Food service supervisors,1
,1750821 Alberta Ltd.,"Spruce Grove, AB T7X 4B8",0621-Retail and wholesale trade managers,1
,1751437 Alberta Ltd,"Sherwood Park, AB T8B 1L3",6211-Retail sales supervisors,1
,1752524 Alberta Ltd,"Calgary, AB T3J 0N9",6211-Retail sales supervisors,1
,1753311 Alberta Ltd.,"Bonnyville, AB T9N 2G7",6322-Cooks,1
,1758818 AB Ltd,"Calgary, AB T2W 0K1",6311-Food service supervisors,1
,1760221 Alberta Ltd,"Clairmont, AB T0H 0W0",6311-Food service supervisors,1
,1762027 Alberta Ltd,"Hythe, AB T0H 2C0",9612-Labourers in metal fabrication,2
,1765842 Alberta Ltd.,"Vulcan, AB T0L 2B0",6315-Cleaning supervisors,1
,1767850 Alberta Ltd.,"Calgary, AB T2C 2A2","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,1770049 Alberta Ltd.,"Edmonton, AB T6T 1W5",6322-Cooks,2
,1777515 Alberta Ltd.,"Calgary, AB T2Y 3S4",6311-Food service supervisors,1
,1779355 AB Ltd,"Spruce Grove, AB T7X 3N4",6211-Retail sales supervisors,1
,1781247 Alberta Ltd,"Calgary, AB T2H 0A7",6311-Food service supervisors,1
,1790032 Alberta Inc.,"Bonnyville, AB T9N 2E2",7283-Tilesetters,2
,1793156 Alberta Ltd,"Calgary, AB T3H 2T8",6315-Cleaning supervisors,1
,,,6731-Light duty cleaners,2
,1794472 Alberta Incorporated,"Sundre, AB T0M 1X0",6322-Cooks,1
,1794545 Alberta Ltd,"Delburne, AB T0M 0V0",6211-Retail sales supervisors,1
,1794635 Alberta Ltd,"Two Hills, AB T0B 4K0",6211-Retail sales supervisors,1
,1796019 Alberta Ltd o/a Color Me Mine,"Raymond, AB T0K 2S0",6211-Retail sales supervisors,1
,1797325 Alberta Ltd.,"Edmonton, AB T5E 5Z2",6311-Food service supervisors,1
,1806838 Alberta Ltd. o/a Mongolia Express Ltd,"Edmonton, AB T6E 6T3",6311-Food service supervisors,1
,1810402 Alberta Ltd,"Calgary, AB T2G 0P5",6322-Cooks,1
,1810725 Alberta Ltd,"Peace River, AB T8S 1S1","6711-Food counter attendants, kitchen helpers and related support occupations",1
,1812653 Alberta Ltd.,"St Paul, AB T0A 3A0",6211-Retail sales supervisors,1
,1816323 Alberta Ltd.,"Calgary, AB T2P 3M7",5241-Graphic designers and illustrators,1
,1822727 Alberta Ltd.,"Drayton Valley, AB T7A 1W2",6311-Food service supervisors,1
,1822735 Alberta Ltd.,"Lancombe, AB T4L 2A6",0631-Restaurant and food service managers,1
,,,6311-Food service supervisors,1
,1827359 Alberta Ltd.,"Cold Lake, AB T9M 1K6",6311-Food service supervisors,3
,1828351 Alberta Ltd o/a Freshii,"Edmonton, AB T6J 7A7",6311-Food service supervisors,1
,1829057 Alberta Ltd,"Edmonton, AB T5J 3R8",6322-Cooks,2
,1831950 Alberta Ltd,"Calgary, AB T3J 3K9",6321-Chefs,1
,1833879 Alberta Ltd,"Calgary, AB T2Y 0J4",6341-Hairstylists and barbers,1
,1835737 Alberta Inc,"Spruce Grove, AB T7X 4B8",6311-Food service supervisors,2
,1838176 Alberta Ltd,"Calgary, AB T3M 0P9",6311-Food service supervisors,1
,1840135 Alberta Ltd,"Wainwright, AB T9W 1E8",6315-Cleaning supervisors,1
,1850421 Alberta LTD. o/a Joko Convenience,"James River Brudge (Sundre), AB T0M 1C0",6211-Retail sales supervisors,1
,1851100 Alberta Ltd.,"Ardrossan, AB T8E 2M4",6211-Retail sales supervisors,1
,,,6611-Cashiers,1
,1851612 Alberta Ltd,"Hanna, AB T0J 1P0",6311-Food service supervisors,1
,1853012 Alberta Ltd.,"Edmonton, AB T5T 1L6",6211-Retail sales supervisors,1
,1856209 Alberta Ltd.,"Banff, AB T1L 1G2",3236-Massage therapists,1
,1857531 Alberta Ltd,"High Level, AB T0H 1Z0","6711-Food counter attendants, kitchen helpers and related support occupations",1
,1858578 AB Corporation o/a Ka Asian Cuisine,"Lloydminster, AB T9V 0B6",6322-Cooks,1
,1858979 Alberta Ltd.,"Edmonton, AB T5T 6J1",6311-Food service supervisors,1
,1859605 Alberta Ltd,"Edmonton, AB T6E 5S1",6322-Cooks,2
,1860078 Alberta Ltd.,"Olds, AB T4H 1B8",6311-Food service supervisors,2
,1869509 Alberta Ltd,"Taber, AB T1G 1G5",6211-Retail sales supervisors,1
,1869783 Alberta Ltd.,"Whitecourt, AB T7S 1N5",6611-Cashiers,1
,1874684 Alberta Ltd.,"Lacombe, AB T4L 1K7",6211-Retail sales supervisors,1
,1875314 Alberta Ltd,"Grassland, AB T0A 1V0",6611-Cashiers,1
,1878968 Alberta Ltd,"Edmonton, AB T5P 3Z1",6322-Cooks,1
,1882777 Alberta Ltd.,"Calgary, AB T2Z 3J3",6322-Cooks,1
,1882804 Alberta Ltd,"Medicine Hat, AB T1B 2R4",0621-Retail and wholesale trade managers,1
,1884132 Alberta Ltd.,"Three Hills, AB T0M 2A0",0631-Restaurant and food service managers,1
,,,6322-Cooks,1
,1896731 Alberta Ltd. o/a Burger Baron,"Rocky Mountain, AB T4T 1A6",6311-Food service supervisors,1
,1897977 Alberta Ltd,"Calgary, AB T3C 2E8",6322-Cooks,2
,1898487 ALBERTA LTD.,"Drayton Valley, AB T7A 1S8",6322-Cooks,1
,1899562 Alberta Ltd.,"Calgary, AB T2W 0K1",6311-Food service supervisors,1
,1900513 AB Ltd.,"Calgary, AB T3E 3C9",6322-Cooks,2
,1900528 Alberta Ltd.,"Grande Prairie, AB T8V 3Y2",6332-Bakers,2
,1901504 Alberta Ltd,"Viking, AB T0B 4N0",6315-Cleaning supervisors,1
,1904178 Alberta Ltd,"Fort Saskatchewan, AB T8L 4K8",6211-Retail sales supervisors,1
,1908896 Alberta Ltd.,"Calgary, AB T2A 2N6",0631-Restaurant and food service managers,1
,1912121 Alberta Ltd,"Edmonton, AB T6E 4B5",6322-Cooks,3
,1912558 Alberta Ltd,"Westlock, AB T7P 2M5",6316-Other services supervisors,1
,1921301 Alberta Ltd,"Edmonton, AB T6V 1L1",6311-Food service supervisors,2
,1925449 Alberta Ltd,"Calgary, AB T3H 0W8",6311-Food service supervisors,2
,1927146 Alberta Ltd.,"Red Earth Creek, AB T0G 1X0",6513-Food and beverage servers,1
,1929550 Alberta Ltd,"Ponoka, AB T4J 1S1",6311-Food service supervisors,1
,1942281 Alberta Ltd.,"Calgary, AB T1Y 7M4",6311-Food service supervisors,1
,1949265 Alberta Ltd.,"St. Albert, AB T8N 5E1",6311-Food service supervisors,2
,1949799 Alberta Ltd.,"High Prairie, AB T0G 1E0",6211-Retail sales supervisors,1
,,,6611-Cashiers,2
,1951099 Alberta Ltd.,"Calgary, AB T2A 6L8",6322-Cooks,1
,2 Clean Inc o/a 2 Clean Car Clean-Up Centres,"Calgary, AB T2H 0C2",6315-Cleaning supervisors,2
,21 Century Seafood Inc,"Calgary, AB T2G 1Z6",6222-Retail and wholesale buyers,1
,264256 Alberta Ltd,"Calgary, AB T2E 6Z7",6525-Hotel front desk clerks,1
,282525 Alberta Ltd,"Edmonton, AB T6K 4C8",6211-Retail sales supervisors,1
,285116 Alberta Ltd,"Lethbridge, AB T1K 7M6",7294-Painters and decorators (except interior decorators),1
,332633 Alberta Ltd o/a Castledowns Cleanitizing,"Edmonton, AB T5Z 3L2",6316-Other services supervisors,1
,336239 Ab Ltd. o/a Dave's Diesel Repair,"Acheson, AB T7X 5A4",7312-Heavy-duty equipment mechanics,1
,3G Equity Inc,"Edmonton, AB T5M 4C9",6731-Light duty cleaners,1
,413246 Alberta Ltd,"St. Albert, AB T8N 5C7","9619-Other labourers in processing, manufacturing and utilities",1
,413622 Alberta Ltd,"Sturgeon County, AB T8T 0C5",0621-Retail and wholesale trade managers,1
,417048 Alberta Ltd,"Calgary, AB T2J 4C4",6311-Food service supervisors,2
,424932 Alberta Ltd,"Calgary, AB T3A 0Z9",6322-Cooks,1
,482392 Alberta Ltd. o/a Dynasty Properties,"Lac La Biche, AB T0A 2C0",1224-Property administrators,1
,484906 Alberta Ltd o/a Lacombe Motor Inn,"Lacombe, AB T4L 1Y8",0632-Accommodation service managers,1
,5 Star Plumbing and Heating Ltd.,"Calgary, AB T3J 0A1",1522-Storekeepers and partspersons,1
,500162 Alberta Ltd.,"Lake Louise, AB T0L 1E0",6311-Food service supervisors,1
,536068 Alberta Ltd,"Cochrane, AB T4C 1A9",6322-Cooks,1
,,,"6711-Food counter attendants, kitchen helpers and related support occupations",1
,537386 Alberta Ltd.,"Calgary, AB T2Z 3K1",6315-Cleaning supervisors,1
,537866 Alberta Ltd,"Edmonton, AB T6E 6T9",7452-Material handlers,1
,541337 Alberta Ltd,"Edmonton, AB T6J 3B2",0631-Restaurant and food service managers,2
,544562 Alberta Ltd.,"Fort McMurray, AB T9H 4V8",6311-Food service supervisors,2
,556320 Alberta Ltd,"Fort McMurray, AB T9H 4K6",6211-Retail sales supervisors,2
,,,6322-Cooks,1
,557369 Alberta Ltd,"Calgary, AB T3L 1V7",6311-Food service supervisors,1
,,,"6711-Food counter attendants, kitchen helpers and related support occupations",1
,564037 Alberta Ltd,"Calgary, AB T2V 1K8","0651-Managers in customer and personal services, n.e.c.",1
,564669 Alberta Ltd,"Stony Plain, AB T7Z 1V7",6525-Hotel front desk clerks,1
,592467 Alberta Ltd.o/a Escada Hair International,"Edmonton, AB T6K 4B4",6341-Hairstylists and barbers,1
,607433 Alberta Ltd,"Edmonton, AB T6T 1W6",1221-Administrative officers,1
,,,"7305-Supervisors, motor transport and other ground transit operators",1
,608954 Alberta Ltd.,"Edmonton, AB T6R 3A6",6211-Retail sales supervisors,1
,615187 Alberta Ltd. o/a Chateau Motel,"Edmonton, AB T6W 1A1",6731-Light duty cleaners,1
,617882 Alberta Ltd.,"Edmonton, AB T5H 4K8","6711-Food counter attendants, kitchen helpers and related support occupations",2
,625569 Alberta Ltd o/a Tim Hortons,"Lethbridge, AB T1K 1N5","6711-Food counter attendants, kitchen helpers and related support occupations",2
,6261388 Canada Inc.,"Calgary, AB T3J 0J4",7511-Transport truck drivers,1
,628940 Alberta Ltd o/a Mac's Convenience Store #22600,"Edmonton, AB T5T 5Y1",6211-Retail sales supervisors,1
,629924 BC Ltd,"Calgary, AB T2X 1Z3",6211-Retail sales supervisors,1
,641132 Alberta Ltd.,"Edmonton, AB T5C 3C8",6311-Food service supervisors,2
,649482 Alberta Ltd,"Calgary, AB T2P 4K8",6311-Food service supervisors,1
,649789 Alberta Ltd,"Calgary, AB T2H 0J8",0631-Restaurant and food service managers,1
,650129 Alberta Inc,"Drumheller, AB T0J 0Y0",6311-Food service supervisors,1
,650273 Alberta Ltd,"Calgary, AB T2M 4S2",6211-Retail sales supervisors,1
,656588 AB Ltd o/a Fort Saskatchewan Bottle Depot,"Fort Saskatchewan, AB T8L 4L5","9619-Other labourers in processing, manufacturing and utilities",2
,659636 Alberta Ltd,"Grimshaw, AB T0H 1W0",0632-Accommodation service managers,1
,6646107 Canada Inc,"Banff, AB T1L 1A3",6311-Food service supervisors,1
,667508 Alberta Ltd.,"Pincher Creek, AB T0K 1W0","4412-Home support workers, housekeepers and related occupations",1
,669452 Alberta Ltd.,"Lethbridge, AB T1H 6T3",6211-Retail sales supervisors,2
,670698 Alberta Ltd,"Sherwood Park, AB T8A 4N5","6711-Food counter attendants, kitchen helpers and related support occupations",1
,675691 Alberta Ltd Petro Canada,"Calgary, AB T3G 4C8",6315-Cleaning supervisors,1
,706386 Alberta Ltd,"Edmonton, AB T5C 3C8",6311-Food service supervisors,2
,7129742 Canada Inc,"Grande Prairie, AB T8V 6V3",6611-Cashiers,1
,716629 Alberta Ltd,"Calgary, AB T2E 2P8",6322-Cooks,1
,716945 Alberta Ltd,"Edmonton, AB T5G 1L2","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,7266511 Canada Corporation,"Calgary, AB T2Z 1Z1",7282-Concrete finishers,1
,730339 Alberta Ltd,"Innisfail, AB T4G 1Y6",6211-Retail sales supervisors,1
,,,6421-Retail salespersons,1
,759055 Alberta Ltd. o/a Sangsters Health Centre,"Edmonton, AB T5J 4B7",6211-Retail sales supervisors,1
,768096 Alberta Ltd.,"Edmonton, AB T5P 4P2",6322-Cooks,2
,776379 Alberta Ltd.,"Edmonton, AB T6H 4M3",6211-Retail sales supervisors,1
,780462 Alberta Ltd,"Edmonton, AB T6E 3S9",6611-Cashiers,1
,782902 Alberta Ltd,"Sylvan Lake, AB T4S 0H2",6211-Retail sales supervisors,2
,788498 Alberta Ltd,"Edmonton, AB T5T 3J7",6311-Food service supervisors,2
,,,"6711-Food counter attendants, kitchen helpers and related support occupations",2
,788982 Alberta Ltd.,"Edmonton, AB T5H 2L9",6322-Cooks,1
,796005 Alberta Ltd,"Camrose, AB T4V 4R1",0631-Restaurant and food service managers,1
,,,6311-Food service supervisors,2
,796174 Alberta Ltd.,"Calgary, AB T3C 0V1",2225-Landscape and horticulture technicians and specialists,1
,7-Eleven Canada Inc.,"Calgary, AB T2Y 1W1",0621-Retail and wholesale trade managers,2
,,,6222-Retail and wholesale buyers,1
,809782 Alberta Ltd.,"Kinuso, AB T0G 1K0","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
,820035 Alberta Ltd,"Calgary, AB T2G 3T8",0631-Restaurant and food service managers,1
,,"Calgary, AB T2G 5S5",0631-Restaurant and food service managers,1
,836663 Alberta Ltd.,"Fort Macleod, AB T0L 0Z0",3233-Licensed practical nurses,1
,,,4212-Social and community service workers,1
,841973 Alberta Ltd.,"Calgary, AB T3A 6A9",6311-Food service supervisors,10
,845320 Alberta Ltd,"Fort McMurray, AB T9H 5P8",6421-Retail salespersons,1
,849357 Alberta Ltd,"Tofield, AB T0B 4J0",0631-Restaurant and food service managers,1
,853582 Alberta Ltd,"Calgary, AB T3K 5B8",0631-Restaurant and food service managers,1
,855739 Alberta Ltd,"Edmonton, AB T6M 1W2",6311-Food service supervisors,1
,871359 Alberta Ltd.,"Black Diamond, AB T0L 0H0",6315-Cleaning supervisors,1
,881422 Alberta Ltd.,"Edmonton, AB T5C 1R9",6211-Retail sales supervisors,1
,889165 Alberta Ltd,"Grande Prairie, AB T8V 5M6",6315-Cleaning supervisors,1
,891565 Alberta Ltd.,"Banff, AB T1L 1B3",6321-Chefs,1
,891634 Alberta Ltd o/a Fairview Subway,"Fairview, AB T0H 1L0","6711-Food counter attendants, kitchen helpers and related support occupations",2
,923453 Alberta Ltd,"Red Deer, AB T4P 1K4",6311-Food service supervisors,1
,949711 Alberta Ltd,"Entwistle, AB T0E 0S0",6322-Cooks,1
,953875 Alberta Ltd,"Spirit River, AB T0H 3G0",6513-Food and beverage servers,1
,956609 Alberta Ltd,"Edmonton, AB T5L 5B5","6711-Food counter attendants, kitchen helpers and related support occupations",1
,959544 Alberta Ltd,"Edmonton, AB T9E 0V5",6611-Cashiers,2
,969250 Alberta Ltd,"Calgary, AB T2T 0A1",0631-Restaurant and food service managers,1
,988208 Alberta Ltd,"Calgary, AB T3J 3Y8",6211-Retail sales supervisors,2
,A & M Cleaning Inc.,"Fort McMurray, AB T9H 5N3",6731-Light duty cleaners,2
,A Ladybug Organic Foods Inc,"Calgary, AB T2G 1Y6",6311-Food service supervisors,1
,A Yah Mi Deh Jamaican Restaurant and Bakery Ltd.,"Edmonton, AB T6L 6T9",6322-Cooks,2
,A&D Child Care Centre and Out of School Care Ltd,"Sherwood Park, AB T8A 4N6",4214-Early childhood educators and assistants,1
,A&S Enterprises Ltd,"Calgary, AB T2N 1N4",6322-Cooks,1
,A.S Kapoor Professional Medical Corporation,"Calgary, AB T2A 5H5",3111-Specialist physicians,1
,AAA Miracle Services Ltd,"Calgary, AB T2E 2K1","0651-Managers in customer and personal services, n.e.c.",1
,AAA Supply House Ltd.,"Calgary, AB T2E 7C7",9615-Labourers in rubber and plastic products manufacturing,1
,Aarav Alberta Inc.,"Fort Saskatchewan, AB T8L 4P7",6311-Food service supervisors,1
,Aastha Patel Inc.,"Lethbridge, AB T1H 2S4",6311-Food service supervisors,1
,ABA Investments Inc,"Red Deer, AB T4R 2K4",6211-Retail sales supervisors,1
,Aber Inc.,"Fort McMurray, AB T9K 1P1",6311-Food service supervisors,1
,Able Demolition Services Ltd.,"Calgary, AB T2G 3K4",7271-Carpenters,1
,Able Landscaping Ltd,"Calgary, AB T2E 8V7",8612-Landscaping and grounds maintenance labourers,2
,Abstract  Painting Plus Inc.,"Calgary, AB T3A 6K5",7294-Painters and decorators (except interior decorators),1
,Abyssinia Restaurant & Bar Ltd.,"Edmonton, AB T5H 2E3",6311-Food service supervisors,1
,AG Diesel Repair Ltd.,"Edmonton, AB T6B 3K1",7612-Other trades helpers and labourers,1
